,Nome,País,Email
0,Alan Turing,Reino Unido,turing@science.com
1,Tim Berners-Lee,Reino Unido,tim@science.com
2,Grace Hopper,Estados Unidos,grace@science.com
3,Donald Knuth,Estados Unidos,donald@science.com
4,John Von Neumann,Hungria,john@science.com
5,Dennis Ritchie,Estados Unidos,dennis@science.com
6,Barbara Liskov,Estados Unidos,barbara@science.com
7,Ada Lovelace,Reino Unido,ada@science.com
8,Charles Babbage,Reino Unido,charles@science.com
9,Ken Thompson,Estados Unidos,ken@science.com
10,Claude Shannon,Estados Unidos,shannon@science.com
11,Edsger W. Dijkstra,Holanda,dijkstra@science.com
12,Guido van Rossum,Holanda,guido@science.com
13,Geoffrey Hinton,Canadá,hinton@science.com
14,Niklaus Wirth,Suíça,wirth@science.com
15,Brian Kernighan,Canadá,brian@science.com
16,Bjarne Stroustrup,Dinamarca,bjarne@science.com
17,Edgar F. Codd,Reino Unido,edgar@science.com
18,Adi Shamir,Israel,shamir@science.com
19,Roberto Ierusalimschy,Brasil,roberto@science.com
